DIVISÃO,PROJETO,DESCRIÇÃO DO PRF, Total (ha),Estrada(ha),Estrada(%),Vegetação Nativa(ha),Vegetação Nativa (%),Plantio (ha),Plantio (%),QDE de Mudas (UND),CIDADE,ANO,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASSETco,Rio do Vento Expansão,CE - RVE,37.83,1.08,2.8548770816812055,1.57,4.15014538725879,35.18,92.99497753106002,87950.0,São Miguel do Gostoso/RN,2023,,,
ASSETco,Rio do Vento,ASV COMPLEMENTAR - RDV,13.5072,0.0,0.0,0.0,0.0,13.5072,100.00000000000001,33768.0,São Miguel do Gostoso/RN,2023,,,
ASSETco,Rio do Vento,BAY DE CONEXÃO - RDV,0.0478,0.008458,17.694560669456067,0.0,0.0,0.039342,82.30543933054393,98.355,São Miguel do Gostoso/RN,2023,,,Implantação ( Área 1 - São Miguel do Gostoso)
ASSETco,Rio do Vento Expansão,CO SE - RVE,0.1092,0.0,0.0,0.0,0.0,0.1092,100.0,273.0,São Miguel do Gostoso/RN,2023,,,Torres ( Área 1 - São Miguel do Gostoso)
ASSETco,Rio do Vento,CO SJ23 - RDV,0.0357,0.00552,15.462184873949576,0.0,0.0,0.030180000000000002,84.53781512605042,75.45,São Miguel do Gostoso/RN,2023,,,( Área 4 - São Miguel do Gostoso)
ASSETco,Rio do Vento,LT - RDV,3.4526,0.221216,6.4072293344146445,0.0,0.0,3.231384,93.59277066558536,8078.459999999999,São Miguel do Gostoso/RN,2023,,,Riachuelo
ASSETco,Rio do Vento Expansão,LT - RVE,0.6256,0.0188,3.0051150895140664,0.1116,17.838874680306905,0.4952,79.15601023017902,1238.0,São Miguel do Gostoso/RN,2023,,,
ASSETco,Rio do Vento,RMT SJ23 - RDV,3.778,0.266075,7.0427474854420336,0.0,0.0,3.511925,92.95725251455796,8779.8125,São Miguel do Gostoso/RN,2023,,,
ASSETco,Rio do Vento,PARQUE EÓLICO SJ23 - RDV,6.226,0.342665,5.50377449405718,1.0975,17.62769033087054,4.7858350000000005,76.8685351750723,11964.587500000001,São Miguel do Gostoso/RN,2023,,,
DEVco,Torre Anemométrica,VA84103,0.0884,0.0,0.0,0.0,0.0,0.0884,99.99999999999999,221.00000000000003,São Miguel do Gostoso/RN,2023,,,
DEVco,Torre Anemométrica,VA84113,0.3436,0.02954,8.597206053550641,0.026723,7.777357392316647,0.287337,83.62543655413272,718.3425,São Miguel do Gostoso/RN,2023,,,
DEVco,Torre Anemométrica,VA84131,0.2099,0.00789,3.7589328251548353,0.0,0.0,0.20201,96.24106717484517,505.025,São Miguel do Gostoso/RN,2023,,,
DEVco,Torre Anemométrica,VA84132,0.0401,0.005612,13.995012468827932,0.0,0.0,0.034488,86.00498753117208,86.22,São Miguel do Gostoso/RN,2023,,,
